Page,Core Terms
21,"pharmacies, alleges, online, conspiracy, alleged co conspirator, antitrust, consumers, prescription, internet, statute 
of limitations, motion to dismiss, news release, lawsuit, Sites, alleged conspiracy, verification, competitors, domain, 
accreditation, websites, direct competitor, Recommended, importation, Safe, search engine, organizations, 
advertising, gatekeepers, misinformation, restrain"
34,"allergy, credentialing, immunotherapy, antitrust, testing, patients, summary judgment, Recommendation, 
Defendants', provider, conspiracy, parties, travel, reimbursement, argues, Plaintiffs', damages, summary judgment 
motion, relevant market, competitors, email, affirmative defense, anticompetitive, costs, district court, contracted, 
consumers, boycott, lawsuit, alleged conspiracy"
60,"games, console, digital, aftermarket, prices, retailers, download, users, antitrust, consumers, platform, 
anticompetitive conduct, motion to dismiss, video game, anticompetitive, monopolization, allegations, pled, 
manufacturer, online, codes, relevant market, anti trust law, monopoly power, class action, single-brand, 
compatible, Switch"
67,"Clinic, magistrate judge, insurer, provider, district judge, market power, patients, preferred-provider, antitrust, 
consumers, anti trust law"
72,"Track, Provider, coverage, insurer, exhaustion, settlement, related claim, Subscriber, Plans, allegations, 
Cooperation, conspiracy, underlying insurance, underlying policy, summary judgment, settlement agreement, lack 
of consent, Antitrust, provisions, summary judgment motion, terms, reimbursement, precludes, settle, waive, 
coverage obligation, amended complaint, declaration, policies, argues"
88,"Assignors, Plaintiffs', Defendants', antitrust claim, antitrust, drugs, motion to dismiss, enterprise, cause of action, 
patients, unjust enrichment, hypertension, conspiracy, reimbursements, Counts, tortious interference, prescription, 
allegations, injuries, amended complaint, assigned, generic, economic injury, proximate cause, injury in fact, 
purchaser, damages, rights, consumer protection, proximately cause"
103,"rights, alleges, Patent, cause of action, settlement agreement, patent rights, exclusive right, Settlement, products, 
Arbitration, Defendants', injunction, Studies, parties, Marketing, motion to dismiss, bankruptcy case, conspiracy, 
Declaration, documents, contends, exclusive license, unjust enrichment, bankruptcy court, issue preclusion, district 
court, declaratory, assigned, requests, asserts"
112,"Hotel, challenges, summary judgment, Defendants', settlement, genuine dispute, parties, releases, extortion, 
enterprise, lawsuits, conspiracy, reasons, sham, Motions, grounds, suits, summary judgment motion, employees, 
projects, predicate act, genuine, merits, entitled to summary judgment, settlement agreement, demonstrating, 
proceedings, attended, argues, allegations"
135,"wholesale, alleges, mortgage, brokers, amended complaint, boycott, customers, ultimatum, competitors, mortgage 
broker, quotations, antitrust, conspiracy, defendants', lending, motion to dismiss, anticompetitive, horizontal, 
relevant market, terminated, addendum, anti trust law, personal jurisdiction, mortgage loan, recommend, spoke, 
group boycott, borrowers, damages, percent"
155,"unfair, tortious interference, prospective economic advantage, motion to dismiss, practices, contractual relationship, 
unfair competition, allegations, suppliers, violates, anti trust law, distributor, disruption, products, manufacturers, 
threatens, pleaded, prong"
160,"rebate, formulary, Tier, epinephrine, auto-injector, patient, foreclosure, coverage, prices, offers, health plan, 
discounts, exclusionary, foreclosed, consumer, antitrust, spillover, entrenched, contracts, products, anticompetitive, 
monopolist's, effective, launch, summary judgment, monopolization, branded, edit, bid, placement"
