Page,Core Terms
21,"copiers, bid, summary judgment, relevant market, purchasers, antitrust, parties, tortious interference, geographic, 
dealer, color, business relationship, manufacturer's, monopolize, non-moving, alleges, sales, commodities, 
authorized dealer, material fact, genuine, prices, genuine issue, Robinson-Patman Act, competitor, monopoly, 
asserts, sufficient evidence, restraint of trade, interchangeable"
39,"League, baseball, umpire, exemption, hiring, professional baseball, major league, antitrust, administrative 
convenience, anti trust law, promoted, termination, minor league, prima facie case, complaints, vacancy, Rights, 
prayer, male, motion to strike, retroactively, preempted, alleges, cases, restraint of trade, discriminatory, election, 
immunity, remedies, players"
56,"consent order, acquisition, prior approval, staff, acquire, settlement agreement, bottlers, regulations, soft drink, 
plaintiffs', terms, remedial purpose, Bottling, proposed acquisition, on-the-record, antitrust, rights, administrative 
complaint, summary judgment, Clayton Act, metropolitan, deference, franchise, parties, reasons, brand, bankruptcy 
judge, burden of proof, anticompetitive, distributors"
77,"pipelines, affiliate, marketing, transportation, regulation, sales, personnel, functioning, reporting requirements, 
Border, shippers, contemporaneous, sales and marketing, benefits, standard of conduct, partnership, 
anticompetitive, nonaffiliated, disclosure, integration, orders, market power, disclosure requirements, civil penalty, 
employees, sunset, transit service, comments, consumers, costs"
106,"rice, district court, carbohydrates, consumers, preliminary injunction, bottles, campaign, preliminary relief, 
advertising, merits, trade dress, rice-based, message, injunction, literally, products, square, irreparable harm, 
misleading, label, irreparable, packaging, solids, syrup, weigh, factors, benefits, monopoly, full trial, threshold"
124,"infringement, antitrust, plaintiffs', intellectual property, security interest, summary judgment, discovery, counts, 
statute of limitations, parties, no evidence, allegations, trademark, state law claim, contributory, properties, 
summary judgment motion, state court action, racketeering, violations, predicate, assigned, induced, motions, 
patent, supplemental jurisdiction, outstanding, foreclosed, argues"
135,"professional football, franchise, stadium, league, cases, team, football, shares"
140,"distributors, summary judgment, compromises, plaintiffs', allegations, full-line, obligor, antitrust, open account, 
Satellite, no evidence, counter-claim, price discrimination, pleadings, parties, insolvency, products, monopolization, 
compete, damages, genuine issue of material fact, summary judgment motion, motion to dismiss, bad faith, 
Instruments, contractual, second-line, concerted, offset, cases"
162,"prices, conspiracy, raw material, solicit, deposition, conversation, defendants', competitors, appendix, reproduced, 
excerpts, summary judgment, conspired, Tallow, allocate, antitrust, suppliers, new account, customers, 
memorandum, collusion, expert testimony, finished product, recorded, employees, plant, inadmissible, tapes, 
summary judgment motion, direct evidence"
199,"discount, insulation, pricing, percent, competitors, customers, conspiracy, lower price, good faith, increased price, 
seller, fiberglass, district court, announcements, price fixing, profits, sales, manufacturers, negotiations, purchaser, 
fix prices, collusion, evaluated, summary judgment, products, tends, price discrimination, interdependent, contends, 
asserts"
220,"counterclaim, Sherman Act, allegations, conspiracy, bidding, customers, parties, notice, anticompetitive, 
competitors, trade secret, employees, effects, business relationship, motion to dismiss, tortious interference, 
supplier, statute of limitations, civil conspiracy, conversion, rigging, join, misappropriation of trade secrets, cause of 
action, former employee, contends, vertical, argues, cases, contractual relationship"
239,"dealers, franchise, dealership, conspiracy, concerted action, summary judgment, reasons, district court, advertising, 
distributor, antitrust, Regional, manufacturer, complaints, negotiations, leasing, deleted, antitrust claim, suggests, 
Sherman Act, allegations, appointment, sentence, bribe, Vehicles Act, infer, tends, circumstantial evidence, 
produce evidence, expiration"
276,"antitrust, asserts, summary judgment motion, relevant market, anticompetitive, contends, damages, argues, 
doctrine of primary jurisdiction, newsprint, rates, limitations period, Sherman Act, previous decision, district court, 
pre-limitations, monopolize, privileges, aggregate, transport, monopoly, alleges, prices"
286,"tariff, state court, telephone, customers, facilities, contends, monopolize, network, area code, claim for damages, 
exchanges, dial, antitrust violation, telephone company, anti trust law, antitrust, message, overt, primary jurisdiction, 
plaintiff's claim, present case, state case, pre-recorded, violations, summary judgment motion, retain jurisdiction, 
antitrust claim, four year, preclusion, alleges"
298,"customers, taps, industrial, financing, Deposition, asserts, antitrust, pipeline, conspiracy, argues, preparation, 
bypass, Steel, contracts, natural gas, end user, business relationship, facilities, contends, no evidence, 
preparedness, monopoly, connect, reasons, contacted, compete, rates, tortious interference, solicit, anti trust law"
326,"pricing, predatory, antitrust, district court, price-fixing, conspiracy, monopolization, anticompetitive, vertical, 
Sherman Act, maximum, probability, competitor, summary judgment motion, anti trust law, opening brief, resale 
price, market power, proceedings, summary judgment, allegations, concerted, partial summary judgment, unilateral, 
court's decision, omitted footnote, abandoned, dealers, genuine, retail"
345,"arbitration, arbitration clause, forum selection clause, Managing, plaintiffs', parties, courts, securities fraud, 
disputes, contracts, syndicates, obligations, clauses, forum selection, underwriting, membership, provisions, 
arbitration agreement, securities law, terms, public policy, applicability, irrevocably, domestic, purposes, remedies, 
exclusive jurisdiction, claim relating, subject matter, fraudulent"
355,"arbitration, treble damages, rutile, vacate"
360,"printers, laser, machine, damages, sales, district court, antitrust, disparagement, summary judgment, buyer, non-
Xerox, competitor's, tying arrangement, products, speculation, causation, sufficient evidence, tied product, profits, 
bought, tortious interference, monopolization, full service, purchasing, customers, antitrust violation, amount of 
damages, tying product, anticompetitive, repairs"
392,"amend, antitrust, district court, competitor, predatory conduct"
397,"joint venture, tubes, electron, manufacture, allegations, Sherman Act, prices, horizontal, monopolize, antitrust, 
motion to dismiss, joint venture agreement, customer, products, rule of reason, conspiracy, price-fixing, price 
information, anti trust law, guilty plea, anticompetitive, Defendants', competitors, Memorandum, acquisition, 
conspiracy to monopolize, prima facie evidence, Clayton Act, exchanged, markets"
424,"programs, load, anti-competitive, immunity, rebate, supervision, state policy, amended complaint, pumps, electric, 
heating, management program, electric heat, plaintiffs', rates, antitrust liability, antitrust, electric utility, articulated, 
regulations, municipal, racketeering, prong, anti trust law, Conservation, developers, effects, summary judgment, 
foreseeably, Bureau"
443,"counterclaim, bid, auction, Sherman Act, Donnelly Act, bidders, answers, per se violation, price fixing, 
anticompetitive, allegations, rigging, leave to amend, rule of reason, special damage, conspiracy, argues, propose 
an amendment, parties, amended answer, contracts, fraudulent concealment, restraint of trade, duty to disclose, 
Co-conspirators, commerce, prices, anti trust law, higher bid, tortious"
456,"trade secret, documents, res judicata, defendants', implantable, misappropriation, audit, secrets, defibrillator, 
capacitor, suits, statute of limitations, parties, cause of action, Declaration, decl, partial summary judgment, 
regulation, courts, antitrust, circuits, disclose, factors, grounds, output, rights, doctrine of res judicata, summary 
judgment, external, purposes"
468,"Overlap, schools, financial aid, institutions, Sherman Act, Methodology, attend, awards, professions, antitrust, per 
se rule, commerce, professional judgment, financial need, price fixing, need-based, resources, self-help, benefits, 
dentists, policies, enroll, institution of higher education, higher education, determinations, need-blind, insurers, 
needy, eliminating, comprised"
488,"credit report, purchaser, customers, credit bureau, antitrust, indirect, plaintiffs', defendants', territorial, anti trust law, 
cost recovery, price discrimination, overcharge, compete, profits"
493,"trial court, purifiers, anti trust law, air, vertical, ozone, price-fixing, standard of proof, civil penalty, clear and 
convincing evidence, consumer fraud, restitution, Converse, argues, cases, attorney's fees, equitable, 
preponderance of evidence, consumer protection, personally liable, consumers, per se violation, jury trial, ordering, 
costs, right to a jury trial, additional testimony, injunctive relief, Antitrust, Deceptive"
508,"dentists, plans, district court, co-payment, instructions, new trial, conspiracy, antitrust, price fixing, district judge, fee 
schedule, per se rule, convict, judgment of acquittal, Sherman Act, indictment, healthcare provider, consumers"
521,"software, hardware, allegations, acquisition, anticompetitive, effects, antitrust, consumers, markets, format, 
competitors, defendants', manufacturers, barrier, anticompetitive conduct, specific intent, dual-deck, cartel, 
hardware and software, causal connection, monopolize, technology, merger, prices, probability of success, anti 
trust law, complain, damages, procompetitive, collusion"
537,"bid, Dairy, rigging, conspiracy, Cooperative, milk, contracts, district court, indictment, interview, Sherman Act, 
Jencks Act, school year, school district, mail fraud, in camera, argues, prices, subpoena, deprive, fine, inspection, 
sentence, documents, scheme to defraud, reconfirmation, collusion, mailed, spring, bid documents"
